subject_id,trial_congruent_fac,resp_corr,resp_rt,resp_value,log_rt,mean_log_rt,sd_log_rt,exclude_trial,exclude_part
118,congruent,1,0.6979673,left,-0.3595830254547087,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.9888399,right,-0.01122284115108086,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.9399919,right,-0.06188402077649082,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.7390123,right,-0.3024407140587799,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.8728188,left,-0.13602730482357833,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,1.0229709,left,0.022711040817100903,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,1.1008398,right,0.09607334306660273,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.9501478,left,-0.05113772754133145,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.8888686,right,-0.11780586091687772,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.7510627,left,-0.2862661420212307,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.8858114,left,-0.12125121785356843,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.7978679,right,-0.22581223408251336,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,1.0289728,left,0.028561023072028232,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.7750366,right,-0.25484502493744177,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.7929043,right,-0.2320527455882077,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.7439225,left,-0.2958184162414358,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.6858717,right,-0.3770646949869069,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.753868,right,-0.28253799261307405,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.568099,left,-0.5654595796740816,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.8969406,left,-0.10876563985181664,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.6929177,left,-0.3668440458634035,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.8317593,right,-0.18421218290169633,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.8238283,right,-0.1937931445719069,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.6697969,left,-0.40078074687998116,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.7080121,right,-0.3452940950389762,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.6347632,left,-0.45450326302476,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.8240396,right,-0.193536691974999,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.7660721,right,-0.26647898834468553,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.8768238,left,-0.13144921899619805,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.904017,left,-0.1009071134570437,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.759065,right,-0.27566786625463435,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,1.2360087,left,0.21188739784567798,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.7335571,left,-0.3098498384848353,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,2.0868627,right,0.7356618377181788,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.8797597,right,-0.12810647698160763,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,1.0087799,left,0.008741580807108068,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.5574743,right,-0.5843388753651474,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.7578322,left,-0.2772932898778327,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.7437364,left,-0.296068608003769,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.7788731,right,-0.2499071475365505,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.8789851,left,-0.1289873325214049,-0.1885519864539109,0.125812982841782,0,0
118,incongruent,1,0.8708566,left,-0.13827795403074253,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.8406529,left,-0.1735764271516173,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.6248897,left,-0.4701801248201632,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.7199744,right,-0.32853962315970536,-0.1885519864539109,0.125812982841782,0,0
118,congruent,1,0.6967303,right,-0.36135688714968894,-0.2138579408963574,0.2786817286728527,0,0
118,congruent,1,0.640007,right,-0.44627616518823354,-0.2138579408963574,0.2786817286728527,0,0
118,incongruent,1,0.8476621,right,-0.16527318958042891,-0.1885519864539109,0.125812982841782,0,0
119,incongruent,1,0.7312598,right,-0.3129864788164712,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.6399415,right,-0.4463785130562253,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.5868461,left,-0.5329926741085934,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.7399231,left,-0.3012090171027856,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.6498859,left,-0.4309584699626717,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.7468993,left,-0.29182490882667794,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.8518694,right,-0.16032205028735647,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.8998136,right,-0.1055676482194054,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.663109,left,-0.41081589808594016,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.6287467,right,-0.4640268060909079,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.5717497,left,-0.5590539707842377,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.5199474,right,-0.6540276263692133,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.6628322,right,-0.4112334128354945,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.6660017,left,-0.4064630558924531,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.5618871,left,-0.5764543389491958,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.6228887,right,-0.47338742784019044,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.4749316,left,-0.7445844853164912,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.4608256,right,-0.7747356155880527,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.6579411,left,-0.41863986534121983,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.6528514,left,-0.4264057406867954,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.5907284,right,-0.5263989272738121,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.6550635,right,-0.42302310148101413,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.5959038,left,-0.5176760343406589,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.5259194,right,-0.6426073099248036,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.5848106,left,-0.5364672448558465,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.5500665,right,-0.5977160989736263,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.4819327,right,-0.7299508012362484,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.4417798,right,-0.8169437110875796,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.4580416,left,-0.7807952692983959,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.5519418,left,-0.5943126730462878,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.5708966,right,-0.5605471715385034,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.6048714,left,-0.502739405529267,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.588892,left,-0.5295124737732304,-0.4461305851826708,0.10101112040960798,0,0
119,incongruent,1,0.5927849,right,-0.5229236776593683,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.4900974,left,-0.7131511321204947,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.6768818,left,-0.3902586151092927,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.4488531,right,-0.8010596162643567,-0.5852871605904952,0.16776663044843956,0,0
119,incongruent,1,0.6410807,right,-0.44459993294995237,-0.4461305851826708,0.10101112040960798,0,0
119,congruent,1,0.5868669,left,-0.5329572310317899,-0.5852871605904952,0.16776663044843956,0,0
119,congruent,1,0.5039791,right,-0.6852204800245685,-0.5852871605904952,0.16776663044843956,0,0
