subject_id,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_corr,resp_rt,resp_value,mean_rt,sd_rt,exclude_thresh,exclude_trial,exclude_part
1903,color,color,right,0,1,0.754156903915,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,0.6798189732,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,1.21587590133,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,1.46381362965,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,0.87179397655,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.831812918141,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,1.00789399199,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.991822485086,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.607809980752,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,1.0478377922,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.751828867056,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,0.687870050593,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.855813211399,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.91981259123,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,0.607866468998,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.607814788262,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,right,0,1,0.743836982133,right,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,0.543883314514,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,0.551800683027,left,0.81675146914465,0.23940319275064176,2,0,0
1903,color,color,left,0,1,0.591865872867,left,0.81675146914465,0.23940319275064176,2,0,0
1903,shape,shape,left,0,0,0.53585236857,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,1.00783329718,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.759833371693,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.79981593245,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.61583882341,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.7038826655,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.831690627098,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.751923214446,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.847748913353,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.527858680831,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.687860135103,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.815791589621,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.719865834406,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.919839633475,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,1.36789027819,left,0.77103589227095,0.18419768292719038,2,1,0
1903,shape,shape,right,0,1,0.655811168207,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.727834583186,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,left,0,1,0.711844803953,left,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.615865865655,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shape,shape,right,0,1,0.815836059092,right,0.77103589227095,0.18419768292719038,2,0,0
1903,shift,color,right,1,1,1.71980423818,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,shape,right,1,1,2.0718356817,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,color,left,1,1,0.991793039086,left,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,color,right,0,1,1.07186152207,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,shape,left,1,1,1.08779150789,left,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,shape,right,0,1,0.815891645929,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,shape,right,0,1,1.18383204242,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,shape,right,0,1,0.967891900727,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,color,left,1,1,0.855815014215,left,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,color,left,0,1,0.711861329769,left,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,shape,right,1,1,0.623806069842,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,color,right,1,1,0.655841215146,right,1.1570830974020156,0.379750224282456,6.4,0,0
1903,shift,shape,right,1,1,1.08783687877,right,1.1570830974020156,0.379750224282456,6.4,0,0
