subject_id,trial_congruent_fac,resp_corr,resp_rt,resp_value,log_rt,mean_log_rt,sd_log_rt,exclude_trial,exclude_part
3961,congruent,1,0.5534899,right,-0.591511774515742,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.7098791,right,-0.3426606051364898,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.651793,left,-0.428028252126986,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.6358485,right,-0.45279495156510874,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.607012,left,-0.4992067187605541,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.6778457,left,-0.38883559806319845,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.7019809,left,-0.3538490833036776,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.6769323,right,-0.39018401107019535,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.6019016,right,-0.5076613021830665,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.6129385,left,-0.4894906743432159,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.636867,right,-0.4511944364186839,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.6798791,right,-0.3858402907368796,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.6238188,left,-0.47189533739787026,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.6759206,left,-0.3916796654589264,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.5629811,right,-0.574509221565795,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.6559522,left,-0.42166735854655185,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.4977335,right,-0.697690485758548,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.5520195,left,-0.5941719072420367,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.6648789,left,-0.40815036017261747,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.6039749,left,-0.5042226382021995,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.556904,right,-0.5853624057942448,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.7379962,right,-0.3038166034464115,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.7178936,left,-0.33143391033009084,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.5889243,right,-0.5294576265105324,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.5739322,right,-0.555244008106005,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.6609955,left,-0.4140082470204928,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.7118858,left,-0.3398377736929625,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.5210235,right,-0.6519601326797768,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.7268435,right,-0.31904409284773255,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.7019734,left,-0.35385976741212777,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.5559168,right,-0.5871366362165494,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.7548745,left,-0.28120376871560926,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,1.0600209,right,0.05828862491073077,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.6069138,left,-0.49936850789167603,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.4478614,right,-0.8032714694334698,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.5889049,right,-0.5294905684685035,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.7599124,left,-0.27455211550296327,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.6879687,right,-0.3740119362697318,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.8979378,left,-0.10765447811227821,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.7649962,left,-0.26788441248819983,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,0.7738641,right,-0.25635900220397645,-0.48080318269313255,0.17895269781956838,0,0
3961,incongruent,1,0.610044,left,-0.4942241932685652,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.5908299,right,-0.5262271202622585,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.6810055,right,-0.3841848965069416,-0.3833956357361437,0.14304557398861886,0,0
3961,incongruent,1,0.5449701,left,-0.6070243482092098,-0.3833956357361437,0.14304557398861886,0,0
3961,congruent,1,0.4739157,right,-0.7467258212051753,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,1,1.0179741,left,0.01781447576145472,-0.48080318269313255,0.17895269781956838,0,0
3961,congruent,0,0.7058968,right,-0.3482862278109885,-0.48080318269313255,0.17895269781956838,0,0
3962,congruent,1,0.5369365,left,-0.6218754409997503,-0.6759281372784443,0.1329144815027003,0,0
3962,congruent,1,0.533998,right,-0.6273631853473081,-0.6759281372784443,0.1329144815027003,0,0
3962,incongruent,1,0.7590751,left,-0.2756545604997832,-0.47214403756909523,0.1920554831364451,0,0
3962,congruent,1,0.4316024,right,-0.8402504849092622,-0.6759281372784443,0.1329144815027003,0,0
3962,incongruent,1,0.6159334,left,-0.48461643817678574,-0.47214403756909523,0.1920554831364451,0,0
3962,incongruent,1,0.5840353,right,-0.5377938527751683,-0.47214403756909523,0.1920554831364451,0,0
3962,congruent,1,0.5467575,left,-0.603749902098218,-0.6759281372784443,0.1329144815027003,0,0
3962,incongruent,1,0.6110259,right,-0.492615931183584,-0.47214403756909523,0.1920554831364451,0,0
3962,incongruent,0,0.4477693,left,-0.8034771345593408,-0.47214403756909523,0.1920554831364451,0,0
3962,congruent,1,0.5089057,right,-0.6754925448212694,-0.6759281372784443,0.1329144815027003,0,0
3962,congruent,1,0.5389007,left,-0.6182239551012398,-0.6759281372784443,0.1329144815027003,0,0
