subject_id,block_name,trial_location,trial_similarity,trial_corr_resp,resp_corr,resp_rt,resp_value,mean_rt,sd_rt,exclude_thresh,exclude_trial,exclude_part
118,nb1TestingBlock,11,0,left,1,0.7804508,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,7,4,right,1,0.6166586,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,8,1,right,1,1.1834512,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,12,4,right,1,0.7078707,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,12,0,left,1,0.9696104,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,0,3,right,1,0.7329941,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,0,0,left,1,0.7910617,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,1,1,right,1,0.8028934,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,3,2,right,1,0.813512,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,2,1,right,1,1.0641768,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,6,4,right,1,0.7902386,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,6,0,left,1,0.802274,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,6,0,left,1,0.6703442,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,10,4,right,1,0.8594336,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,8,2,right,1,0.895731,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,8,0,left,1,0.5676334,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,6,2,right,1,0.7334715,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,9,3,right,1,1.1594074,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,9,0,left,1,1.8938934,left,0.8773816466666666,0.2701237972446334,3,1,0
118,nb1TestingBlock,5,4,right,1,0.7899137,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,4,1,right,1,1.0114407,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,4,0,left,1,0.8065311,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,2,2,right,1,1.4524174,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,14,3,right,1,0.8058048,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,11,3,right,1,0.7484437,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,13,2,right,1,0.7542231,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,13,0,left,1,0.8124309,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,14,1,right,1,1.0152148,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,2,3,right,1,0.7429465,right,0.8773816466666666,0.2701237972446334,3,0,0
118,nb1TestingBlock,2,0,left,1,0.5469759,left,0.8773816466666666,0.2701237972446334,3,0,0
118,nb2TestingBlock,3,0,left,1,0.7754211,left,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,9,3,right,1,1.203476,right,0.98953403,0.3075140757638344,9,0,0
118,nb2TestingBlock,2,1,right,1,1.3691798,right,0.98953403,0.3075140757638344,9,0,0
