subject_id,block_name,trial_location,trial_similarity,trial_corr_resp,resp_corr,resp_rt,resp_value,mean_rt,sd_rt,exclude_thresh,exclude_trial,exclude_part
3961,nb1TestingBlock,11,0,left,1,0.5895281,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,7,4,right,1,0.5288654,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,8,1,right,0,0.6772276,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,12,4,right,1,0.6839934,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,12,0,left,1,0.6140842,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,0,3,right,1,0.7048067,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,0,0,left,1,1.2417666,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,1,1,right,1,0.7096523,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,3,2,right,1,0.746131,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,2,1,right,1,0.9602554,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,6,4,right,1,0.6680944,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,6,0,left,1,0.5921143,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,6,0,left,1,0.6998903,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,10,4,right,1,0.5544778,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,8,2,right,1,0.5642476,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,8,0,left,1,0.5423079,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,6,2,right,1,0.7286372,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,9,3,right,1,0.6542652,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,9,0,left,1,0.9350026,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,5,4,right,1,2.7670452,right,0.7621979233333334,0.41022242926608243,3,1,0
3961,nb1TestingBlock,4,1,right,1,0.9978305,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,4,0,left,1,0.6512128,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,2,2,right,1,0.7108876,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,14,3,right,1,0.78923,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,11,3,right,1,0.5694493,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,13,2,right,1,0.589861,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,13,0,left,1,0.5391795,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,14,1,right,1,0.5915894,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,2,3,right,1,0.6342327,right,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb1TestingBlock,2,0,left,1,0.6300717,left,0.7621979233333334,0.41022242926608243,3,0,0
3961,nb2TestingBlock,3,0,left,1,0.6958431,left,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,9,3,right,1,1.2189847,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,2,1,right,1,2.3134601,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,9,0,left,1,3.6251621,left,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,4,2,right,0,1.2081849,left,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,10,1,right,1,1.4170052,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,6,2,right,1,0.8885545,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,6,4,right,1,1.312865,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,7,1,right,1,0.7599609,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,6,0,left,0,0.7610573,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,5,2,right,0,0.8251272,left,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,10,4,right,1,2.0852269,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,2,3,right,1,1.2410243,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,13,3,right,1,2.713186,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,3,1,right,0,1.0969727,left,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,1,3,right,1,0.8891679,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,3,0,left,1,1.1204104,left,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,1,0,left,0,0.841194,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,4,1,right,0,1.3532429,left,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,1,0,left,0,0.7939068,right,1.9818194622222223,1.012823644251362,9,0,0
3961,nb2TestingBlock,4,0,left,1,4.6316997,left,1.9818194622222223,1.012823644251362,9,0,0
