subject_id,trial_condition,trial_cue,trial_corr_resp,trial_shift,resp_corr,resp_rt,resp_value,mean_rt,sd_rt,exclude_thresh,exclude_trial,exclude_part
100,shape,shape,right,0,1,0.494351482664,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.703893477719,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.375927923489,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.471647742126,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.543772629074,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.399859680962,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.471819309943,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.527795488758,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.527898549636,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.495891987392,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.599659869056,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.391860894857,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.607905340236,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.511621541226,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.463873406387,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.375779191318,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,left,0,1,0.479920555988,left,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.975791811017,right,0.53654693476525,0.1405779191710239,2,1,0
100,shape,shape,right,0,1,0.607896326165,right,0.53654693476525,0.1405779191710239,2,0,0
100,shape,shape,right,0,1,0.703771487292,right,0.53654693476525,0.1405779191710239,2,0,0
100,color,color,right,0,0,0.655796798803,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,0,0.791916481628,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,0,0.647669411952,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,0,0.807862974103,right,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,0,1.86387550967,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,0,0.775777989442,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,0,0.791870209397,right,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,0,0.919860402088,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,0,0.567843503709,right,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,1,1.7277960897,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,1,1.09583549921,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,1,0.607800777013,right,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,1,0.671824417916,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,1,0.679809382446,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,1,0.615807976251,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,1,0.415962116864,right,0.790630068537,0.3832587092454292,2,0,0
100,color,color,left,0,1,0.567765081292,left,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,1,0.335839345218,right,0.790630068537,0.3832587092454292,2,0,0
100,color,color,right,0,1,0.519835162689,right,0.790630068537,0.3832587092454292,2,0,0
