participant_id,trial_type,resp_corr,rt,response,log_rt,mean_log_rt,sd_log_rt,exclude_trial,exclude_part,school,group
1903,congruent,1,0.84131102909,1,-0.1727938549308877,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,1.1058561647,-1,0.1006198446429085,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,1.15182628362,1,0.1413487554341696,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.710728335406,-1,-0.3414650102296974,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,0.956794614146,1,-0.0441665248296228,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.96581809643,1,-0.0347797684744996,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,1.13368283713,-1,0.1254714811158501,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,0.989884639584,-1,-0.0101668683158723,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.862870572809,1,-0.1474905727159737,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,0.929874575061,-1,-0.0727055674558146,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.972822053011,1,-0.0275540984023921,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,1.02345353812,-1,0.0231827299935573,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,1.08488744717,1,0.0814762462843528,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,1.00165791019,1,0.0016565373740286,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.780831797835,-1,-0.2473955200262625,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,1.18875610599,-1,0.1729074713437666,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.863864258144,-1,-0.1463396311505646,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.710887762062,-1,-0.3412407209058042,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,0.971875644732,-1,-0.0285274202249188,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.916752012394,-1,-0.08691827689376,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,0.843837994715,1,-0.1697947522006322,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,1.14465795345,1,0.135105861765972,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.889753666177,1,-0.1168106341428921,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.907687856169,1,-0.0968547302225365,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,0.984327932296,-1,-0.0157961729217163,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,1.1198557176,1,0.1131998534371055,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.905867794068,-1,-0.0988619062491569,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.808813611023,1,-0.2121867827540237,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,0.850648768706,1,-0.1617559633293222,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,0.853788494186,-1,-0.1580717807551679,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,0.867756569914,1,-0.1418440530629103,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.932778561869,-1,-0.0695874462089744,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.872854227274,-1,-0.1359867161526745,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.881815976318,1,-0.1257718883748415,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.813807921335,-1,-0.2060309097005537,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,incongruent,1,0.908795133357,1,-0.0956355860504949,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
1903,congruent,1,0.952773374566,-1,-0.0483782057416585,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,1.28080288306,1,0.2474871336815945,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,1.18677279286,1,0.1712376843824032,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,1.16951508627,-1,0.1565892067194768,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,0.949664073416,1,-0.0516469638517494,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,0.892828394117,-1,-0.1133608844143488,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,0.834644283299,-1,-0.1807496529236293,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,congruent,1,1.2577197516,1,0.2293003604876912,-0.0689568798047287,0.1629053918167526,0,0,UIC,rMDD
1903,incongruent,1,1.37285408305,1,0.3168918451366829,0.0107272131224115,0.1426695169675775,0,0,UIC,rMDD
