subject_id,block_name,trial_location,trial_similarity,trial_corr_resp,resp_corr,resp_rt,resp_value,mean_rt,sd_rt,exclude_thresh,exclude_trial,exclude_part
1903,nb1TestingBlock,11,0,left,1,0.663306317128,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,7,4,right,1,0.606543141696,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,8,1,right,1,1.03752562253,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,12,4,right,1,0.682756301895,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,12,0,left,1,0.682442912318,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,0,3,right,1,0.720330900934,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,0,0,left,1,0.704553553561,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,1,1,right,1,0.751189107624,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,3,2,right,1,1.0777524649,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,2,1,right,0,0.914879424637,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,6,4,right,1,1.04157114244,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,6,0,left,1,0.687534065718,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,6,0,left,1,0.622083719186,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,10,4,right,1,0.597408571671,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,8,2,right,1,0.548585900894,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,8,0,left,1,0.578758436429,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,6,2,right,1,0.505879585088,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,9,3,right,1,0.872966348029,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,9,0,left,1,0.600013040372,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,5,4,right,1,1.15124517521,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,4,1,right,0,0.792281602319,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,4,0,left,1,0.983029188198,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,2,2,right,1,0.684844564178,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,14,3,right,1,0.692918176776,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,11,3,right,1,0.852345734507,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,13,2,right,1,0.915045884681,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,13,0,left,1,0.625851304909,left,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,14,1,right,1,1.04845669906,right,0.7730410647516001,0.17765735506845437,3,0,0
1903,nb1TestingBlock,2,3,right,1,0.845820741162,right,0.7730410647516001,0.17765735506845437,3,0,0
